district_name,area_key,area_label,goal_count,action_count,metric_count,action_dollars,externalizable_dollars,movement_points,movement_improving,movement_flat,movement_worsening,movement_negative_share,pace_metrics,pace_positive,pace_negative,pace_negative_share,top_action_1,top_action_1_dollars,top_action_2,top_action_2_dollars,metric_example_1,metric_example_1_status,metric_example_1_diff
Santa Ana Unified School District,english_learner_progress,English Learner Progress & Reclassification,1,30,2,403283705.26,245242234.38,2,1,0,1,0.5,0,0,0,0.0,"English Learner
Program",3539907.37,Supports for LTELs,1152202.63,"ELPI: (ELs Making
Progress or maintaining
4 on ELPAC), including
disaggregated for LTELs
(NEW)",,ELs: -9.1%
Garden Grove Unified School District,english_learner_progress,English Learner Progress & Reclassification,1,22,9,207513934.0,175489909.95,21,7,0,14,0.6667,0,0,0,0.0,"English Learner and
Long-Term English
Learner Support",100000.0,"ENGLISH LEARNER
PARENT
INVOLVEMENT/EDU
CATION",6209923.0,"English Language
Proficiency Assessment
of California (Summative
ELPAC)*
(English Learners)
ELPAC Criterion for
English Learner
Proficiency
District Overall",,District Wide: -2.66
Fullerton Joint Union High School District,special_education_inclusion,Special Education & Inclusion,2,13,7,166757405.0,146438303.0,57,33,10,14,0.2456,5,4,1,0.2,"Staffing to provide
oversight and support
to students to
increase attendance
and graduation rates
as well as to reduce
suspensions and
expulsions.
This action also
addresses the
student groups
identified in ""red"" on
the College Career
Indicator on the
Dashboard including
SWD, EL, Hispanic,
HY, and LI.",3312185.0,"Services to provide
academic guidance
support, college
exploration, and
improving reading
skills for SWD which
had a red indicator
on the 22/23
California School
Dashboard.
This metric also
addresses all student
groups scoring ""red""
on the College
Career Indicator
(CCI) of the
Dashboard
Districtwide and at
BPHS, FUHS, LHHS,
LSHS, LVHS, SHHS,
and TRHS.",0.0,"UC/CSU “a-g”
completion % rates
Districtwide for all
students and focus
attention on SWD to
increase the CCI on the
California School
Dashboard.
Specific focus on
improving ""A-G""
completion % rates at
the following schools
and student groups:
BPHS:
SWD
FUHS:
SWD
EL
LHHS:
SWD
LSHS:
LI
Hispanic
LVHS:
All Students
EL
HY
LI
SWD
Hispanic
White
SHHS:
SWD
TRHS:
SWD
This metric specifically
addresses all student
groups scoring ""red"" on
the College Career
Indicator (CCI) of the
2023 Dashboard
Districtwide and at
BPHS, FUHS, LHHS,
LSHS, LVHS, SHHS,
and TRHS.",off_track,2023/2024
Garden Grove Unified School District,college_career_readiness,"College, Career & Postsecondary Readiness",2,15,9,243988510.0,176393946.0,21,16,1,4,0.1905,3,3,0,0.0,"MENTORING,
SCHOOL
PROGRAMS, AND
A-G AWARENESS",8664284.0,"COLLEGE/CAREER
PROGRAMS AND
EVENTS",2264.0,"A-G Rates and CTE
Sequences or Programs
of Study*
Source: CA Dashboard",,+1.3%
Orange Unified School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,12,2,127136426.0,87938344.45,3,2,0,1,0.3333,1,0,1,1.0,"Expanded Learning
and Summer
Enrichment",9965531.0,"Student Achievement
Data Analysis,
Progress Monitoring
Software, Student
Achievement
Committee, and
Student Achievement
Professional
Learning",296838.0,"# of students
participating in
Expanded Learning
Sites in OUSD (CARES,
ELOP, ASES) *1%
growth annually",moving_away,"-4,040 students"
Santa Ana Unified School District,ela_proficiency,ELA Proficiency & Literacy,2,10,4,173988944.03,133755427.53,23,11,1,11,0.4783,0,0,0,0.0,"High Quality
Instructional Program",80475165.1,Early Learning,26377243.11,"CAASPP
ELA/DataQuest (%
Meets or Exceeds
Standard for ELA)",,All: +0.07%
Santa Ana Unified School District,graduation_credit_recovery,"Graduation, Credit Recovery & Alternative Pathways",1,8,6,287457072.53,149103626.59,48,33,2,13,0.2708,0,0,0,0.0,"Equity Multiplier -
Student Engagement",609201.0,"College and Career
Readiness",17887135.12,"High School Graduation
Rate",,All: +0.6%
Fullerton Joint Union High School District,ela_proficiency,ELA Proficiency & Literacy,2,14,4,158275695.0,139558260.2,19,10,3,6,0.3158,4,4,0,0.0,"Services to provide
academic guidance
support, college
exploration, and
improving reading
skills for unduplicated
pupils, including EL,
who performed in the
red indicator on the
22/23 California
School Dashboard.
This action also
addresses all student
groups scoring ""red""
on the College
Career Indicator
(CCI) of the
Dashboard
Districtwide and at
BPHS, FUHS, LHHS,
LSHS, LVHS, SHHS,
and TRHS.",246159.0,"Services to provide
academic guidance
support, college
exploration, and
improving reading
skills for SWD which
had a red indicator
on the 22/23
California School
Dashboard.
This metric also
addresses all student
groups scoring ""red""
on the College
Career Indicator
(CCI) of the
Dashboard
Districtwide and at
BPHS, FUHS, LHHS,
LSHS, LVHS, SHHS,
and TRHS.",0.0,"CAASPP Performance
and Progress on the
percentage of 11th-
grade students
meeting/exceeding
English Language Arts
(ELA), math, and
science.
Specific focus on
improving ELA for SWD
at FUHS, SOHS, and
SHHS.
Specific focus on
improving ELA for EL at
BPHS and SOHS.
Additionally, focus on
improving math results
for SWD and EL district-
wide and specifically at
FUHS, and LVHS as
indicated on the
California School
Dashboard.
This metric specifically
addresses the ""red""
indicator for ELA on the
2023 Dashboard for
BPHS, FUHS, SOHS,
SHHS, and LVHS in the
student groups listed
above.
This metric specifically
addresses the ""red""
indicator for Math on the
2023 Dashboard for
FUHS and LVHS in the
student groups listed
above.",on_track,ELA: -1% all
Fullerton Joint Union High School District,english_learner_progress,English Learner Progress & Reclassification,2,11,4,158686108.0,139615036.85,15,11,0,4,0.2667,2,2,0,0.0,"Staffing and services
to improve
programs/services
that will contribute to
EL students
accessing state
standards and
improving ELD for
language proficiency
and better scores on
the ELA and math
portions of the State
assessments.",562985.0,"Staff development
days (maintain 186-
day work year).",2250000.0,"Increase stability rate for
Low Income Students,
English Learners,
Homeless Students, and
Hispanic Students",,2023/24
Fullerton Joint Union High School District,math_proficiency,Math Proficiency,0,10,2,154317809.0,136869031.0,17,10,3,4,0.2353,1,1,0,0.0,"Staffing and services
to improve
programs/services
that will contribute to
EL students
accessing state
standards and
improving ELD for
language proficiency
and better scores on
the ELA and math
portions of the State
assessments.",562985.0,"Maintain a 28.5 to 1
student-to-teacher
ratio",1414718.0,"CAASPP Performance
and Progress on the
percentage of 11th-
grade students
meeting/exceeding
English Language Arts
(ELA), math, and
science.
Specific focus on
improving ELA for SWD
at FUHS, SOHS, and
SHHS.
Specific focus on
improving ELA for EL at
BPHS and SOHS.
Additionally, focus on
improving math results
for SWD and EL district-
wide and specifically at
FUHS, and LVHS as
indicated on the
California School
Dashboard.
This metric specifically
addresses the ""red""
indicator for ELA on the
2023 Dashboard for
BPHS, FUHS, SOHS,
SHHS, and LVHS in the
student groups listed
above.
This metric specifically
addresses the ""red""
indicator for Math on the
2023 Dashboard for
FUHS and LVHS in the
student groups listed
above.",on_track,ELA: -1% all
Anaheim Union High School District,english_learner_progress,English Learner Progress & Reclassification,2,16,7,148973192.2,93431959.59,13,7,1,5,0.3846,4,3,1,0.25,"Inclusive Instructional
Practices and Asset-
Based Supports for
Language
Development",7550229.0,"Technological
Resources",13984716.52,EL Reclassification rate,moving_away,5.2% decline
Santa Ana Unified School District,special_education_inclusion,Special Education & Inclusion,1,4,2,190470971.64,105297566.36,20,11,0,9,0.45,0,0,0,0.0,"Addressing Special
Needs",185591397.61,"CA Standards
Aligned Materials",3204270.88,"CAASPP
Math/DataQuest (%
Meets or Exceeds
Standard for Math)",,All: +1.20%
Irvine Unified School District,mental_health_wellness,"Mental Health, SEL & Wellness",0,38,0,262240646.0,148546795.4,0,0,0,0,0.0,0,0,0,0.0,"Staffing: Mental Health
and Wellness-
Strategic/Intensive
Actions",1859697.0,"Targeted Staffing:
Student mental health
and wellness- Actions to
Support Some Students",3486808.0,,,
Fullerton School District,family_community_engagement,Family & Community Engagement,0,14,7,119305908.0,105274440.2,15,9,0,6,0.4,1,1,0,0.0,"Family Engagement
in Student Success",2691945.0,"Parental
Engagement in
Showcase
Opportunities",422697.0,"LCAP Parent Survey
1 = never, 2 = some of
the time, 3 = most of the
time, 4 = all of the time
3 or higher is FSD's
desired outcome",,0.05
Fullerton School District,ela_proficiency,ELA Proficiency & Literacy,2,16,5,75952334.0,65211164.8,41,32,2,7,0.1707,2,0,2,1.0,"Professional
Development:
Innovation and Digital
Literacy",398635.0,"Improve Educational
Outcomes for English
Learners through
Specialized Support
and Professional
Development for
Appropriate Staff",4585341.0,"CAASPP Distance from
Standard (DFS) - ELA
*Unduplicated student
groups",moving_away,*ELs: +3.8
Fullerton Joint Union High School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,8,0,156644261.0,139377748.9,0,0,0,0,0.0,0,0,0,0.0,"Summer School
Program",900000.0,"Tutoring both inside
and outside the
school day.",150000.0,,,
Orange Unified School District,special_education_inclusion,Special Education & Inclusion,1,4,9,88217337.0,61787377.3,44,33,1,10,0.2273,3,0,3,1.0,"Special Education
Programs, Supports,
Staff and Supplies",87703013.0,"Special Education
Instruction
Specialists",266999.0,"*CAASPP/CAA/LTEL
(ELA) & CA Dashboard
ELA
Increase 3% Proficiency
& 3 Status
Points Change (Green)
Yearly
Grade 11 ELA results
will be utilized to monitor
the progress of the Early
Assessment Program
(EAP): a 3% gain in
proficiency rate yearly",off_track,0.64% CAASPP
Irvine Unified School District,special_education_inclusion,Special Education & Inclusion,0,13,3,229807086.0,128863866.2,5,3,2,0,0.0,1,1,0,0.0,"Instructional Support-
Special Education",101150.0,"Instructional Supports-
Actions to Support
Student with Disabilities",600000.0,"ESY
Effectiveness -
Participation and
Attendance",,0
Orange Unified School District,family_community_engagement,Family & Community Engagement,0,11,7,101093587.0,70513847.15,19,16,0,3,0.1579,2,1,1,0.5,"Community Schools,
including Native
American Students
and Families",5016504.0,"Parent and Family
Engagement",18661.0,"Parents of EL and
unduplicated students'
participation in
district/school parent
programs: *10%
increase per year",off_track,"2,430 parents of"
Santa Ana Unified School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",1,15,0,192153838.15,116822140.2,0,0,0,0,0.0,0,0,0,0.0,"Expanded Learning
Opportunities",53790995.57,"MTSS - Student
Achievement",29099587.3,,,
Huntington Beach Union High School District,family_community_engagement,Family & Community Engagement,0,12,5,128584145.0,113131469.5,0,0,0,0,0.0,0,0,0,0.0,Parent & Family Engagement,1036976.0,Communication & Outreach,285142.0,"LCAP Survey:
Parent and family
engagement:
Decision Making
(Local Indicator:
State’s reflection
tool)
Results of parent
survey are also
disaggregated by
school site and
provided to
administration (c.1)",,
Laguna Beach Unified School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,18,1,66824346.0,58646011.1,8,0,1,7,0.875,0,0,0,0.0,"Extended Learning
Opportunities",873815.0,"Multi-Tiered System
of Support (MTSS):
Academic
Interventions",511917.0,"K-10 i-Ready Diagnostic
Assessment
Performance Data:
Students Recommended
for Tier 3 Academic
Interventions at End of
Year",,All students: 1%
Orange Unified School District,math_proficiency,Math Proficiency,1,12,6,107872490.0,74952503.35,31,26,1,4,0.129,3,2,1,0.3333,"Mathematics Support
Services",174522.0,Math Support,7604.0,"*CAASPP/CAA/LTEL
(MATH) & CA
Dashboard MATH
Increase 3% Proficiency
3 Status Points Change
(Green) Yearly
Grade 11 Math results
will be utilized to monitor
the progress of the Early
Assessment Program
(EAP): a 3% gain in
proficiency rate yearly",off_track,1.81% CAASPP
Fullerton School District,math_proficiency,Math Proficiency,1,10,3,69153327.0,61198564.1,29,21,0,8,0.2759,2,1,1,0.5,"Academic Support
and Progress
Monitoring for Foster
Youth, Low Income
Students, and
Students
Experiencing
Homelessness",27746743.0,"Strategic Technology
Support to Low-
Income, Homeless,
and Foster Youth",2507194.0,"iReady Distance from
Standard - Math
*Unduplicated student
groups",moving_away,(Spring 2025)
Orange Unified School District,ela_proficiency,ELA Proficiency & Literacy,0,7,5,96633616.0,67628839.55,32,23,1,8,0.25,3,2,1,0.3333,"Professional
Development and
Support for Core
Subjects",71118.0,"Special Education
Programs, Supports,
Staff and Supplies",87703013.0,"*CAASPP/CAA/LTEL
(ELA) & CA Dashboard
ELA
Increase 3% Proficiency
& 3 Status
Points Change (Green)
Yearly
Grade 11 ELA results
will be utilized to monitor
the progress of the Early
Assessment Program
(EAP): a 3% gain in
proficiency rate yearly",off_track,0.64% CAASPP
Fullerton School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,12,1,77572761.0,69277095.9,2,1,0,1,0.5,0,0,0,0.0,"Academic Support
and Progress
Monitoring for Foster
Youth, Low Income
Students, and
Students
Experiencing
Homelessness",27746743.0,"Improve Educational
Outcomes for English
Learners through
Specialized Support
and Professional
Development for
Appropriate Staff",4585341.0,"Percentage of Foster
Youth and Homeless
students needing Tier 3
SEL Interventions",,6.5%
Garden Grove Unified School District,special_education_inclusion,Special Education & Inclusion,1,2,11,112496955.0,61864575.25,25,10,1,14,0.56,0,0,0,0.0,"Specialized
Academic
Instructional Services
and Access to
Curriculum",112471955.0,"PROVIDE SUPPORT
TO PARENTS OF
PUPILS WITH
EXCEPTIONAL
NEEDS",25000.0,"How well students at
Hare High School are
meeting grade-level
standards on the MATH
assessment (CAASPP)
as measured by ""points
from standard"".
Source: CA Schools
Dashboard",,All: -30.7
Garden Grove Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",0,6,3,130080231.0,77181741.6,7,6,0,1,0.1429,0,0,0,0.0,"SCHOOL
CONNECTEDNESS",4975906.0,"WELCOMING
CLIMATE",2187317.0,"Annual District Survey
(Grades 3-12)
Scale: 1 (low) to 5 (high)
District Overall
Discipline and Rules",,+0.18
Garden Grove Unified School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,11,0,88677528.0,79661129.2,0,0,0,0,0.0,0,0,0,0.0,"EXTENDED
LEARNING
PROGRAMS AND
SPECIAL
PROGRAMS",32740020.0,"EXTENDED
LEARNING
OPPORTUNITIES
AND SPECIAL
PROGRAMS TO
SUPPORT LONG-
TERM ENGLISH
LEARNERS",99915.0,,,
