theme_key,theme_label,scorable_metrics,at_or_above_target,on_track,off_track,moving_away,positive_share
staffing_prof_learning,Staffing & Professional Learning,3,1,2,0,0,1.0
college_career,"College, Career & Graduation",114,48,57,7,2,0.9211
family_community,Family & Community Engagement,75,20,49,5,1,0.92
special_education,Special Education & Inclusion,8,3,4,1,0,0.875
academic_instruction,Academic Achievement & Instruction,194,69,94,19,12,0.8402
english_learner,English Learner & Multilingual Support,34,9,19,4,2,0.8235
technology_data,"Technology, Data & Systems",8,4,2,2,0,0.75
other,Other / uncategorized,15,7,4,1,3,0.7333
intervention_extended_learning,"Intervention, MTSS & Expanded Learning",3,1,1,0,1,0.6667
attendance_climate,"Attendance, Belonging & School Climate",51,14,18,7,12,0.6275
