theme_key,theme_label,districts_with_theme,goal_count,action_count,metric_count,total_action_dollars,dollar_share
academic_instruction,Academic Achievement & Instruction,29,41,364,500,1159767634.3,0.260322
attendance_climate,"Attendance, Belonging & School Climate",29,18,231,236,487906554.23,0.109516
family_community,Family & Community Engagement,29,17,144,168,109979035.16,0.024686
college_career,"College, Career & Graduation",28,27,139,325,291210093.1,0.065365
english_learner,English Learner & Multilingual Support,28,5,138,57,284829758.83,0.063933
staffing_prof_learning,Staffing & Professional Learning,28,3,127,20,1184564123.49,0.265887
intervention_extended_learning,"Intervention, MTSS & Expanded Learning",24,0,65,7,219510000.39,0.049271
technology_data,"Technology, Data & Systems",22,2,51,30,86920240.93,0.01951
other,Other / uncategorized,22,27,48,66,91348266.12,0.020504
special_education,Special Education & Inclusion,21,1,49,12,539099553.93,0.121006
