district_name,negative_pressure,broad_action_dollars,broad_externalizable_dollars,broad_action_count,broad_metric_count,movement_negative_share,pace_negative_share,metric_example_1,metric_example_1_status,metric_example_1_diff,explicit_attendance_action_count,explicit_attendance_action_dollars,explicit_workflow_action_count,explicit_workflow_action_dollars,zero_dollar_explicit_action_count,top_explicit_action,top_explicit_action_dollars
Gilroy Unified School District,True,1828880.00,1352039.75,3,2,0.3636,0.5000,Attendance Rate,moving_away,-0.6%,1,522209.00,0,0.00,0,Attendance,522209.0
Fremont Union High School District,True,2544103.64,1572023.16,6,2,0.5000,0.0000,Decrease chronic absenteeism.,,+17.8%,1,376674.00,0,0.00,0,Attendance,376674.0
Evergreen Elementary School District Board of Trustees,True,2247145.00,1417371.50,10,2,0.2500,0.5000,Priority 5.A: Pupil Engagement (Engagement) District Average Daily Attendance rate as of May 22nd (Source: PowerSchool),moving_away,All: +0.22%,3,347137.00,0,0.00,1,Director of Child Welfare Safety and Attendance,268773.0
Santa Clara Unified School District,True,596178.00,239965.70,3,2,0.0000,1.0000,Districtwide average attendance rates. (Action 2.4),off_track,Overall: +0.7%.,1,295100.00,0,0.00,0,"Provide support and engage with students and families, with a focus on foster and unhoused youth, to increase regular school attendance, and decrease chronic absenteeism.",295100.0
San José Unified School District,True,31711102.20,28406671.98,3,3,0.2500,0.5000,Chronic absenteeism rate Source - DataQuest,off_track,3.0%,1,242400.00,0,0.00,0,"Rigorous Curriculum- Innovative Workforce - EL Progress, ELA, Chronic absenteeism, Suspensions",242400.0
Mountain View Whisman School District,True,3331507.00,2509040.15,9,2,0.9545,0.0000,State Priority 5 Chronic Absenteeism Rates,on_track,2023-24 California,2,133416.00,0,0.00,1,Addressing Chronic Absenteeism Differentiated Assistance,133416.0
Los Altos Elementary School District,True,109113.00,43645.20,1,1,0.6842,1.0000,ATTENDANCE Student attendance rates (Priority 5A) Chronic absenteeism rates (Priority 5B) Middle school drop out rates (Priority 5C),moving_away,-2% EOY,1,109113.00,0,0.00,0,STUDENT ATTENDANCE,109113.0
Mt. Pleasant Elementary School District (MPESD),True,810149.00,495433.55,6,2,0.8182,0.5000,Attendance Rate,off_track,0%,1,40000.00,0,0.00,0,Improve Student Engagement and Attendance,40000.0
Milpitas Unified School District,True,42554147.00,35600100.10,6,1,0.3636,1.0000,Chronic Absenteeism,off_track,All: -1.5%,0,0.00,0,0.00,0,,0.0
sunnyvale,True,24530492.12,22077442.91,5,2,0.3500,1.0000,Chronic absenteeism (source: CA Dashboard),moving_away,Disabilities: -3.1%,0,0.00,0,0.00,0,,0.0
Cupertino Union Elementary School District,True,1147171.00,683193.15,3,2,0.7857,0.0000,Chronic Absenteeism Rate: Percentage of students who were chronically absent Data Sources: District Attendance Dashboard Year to Date; CA Dashboard,,All Students -1%,1,0.00,1,0.00,1,,0.0
Saratoga Union School District,True,291098.00,228049.60,10,2,0.7143,1.0000,Priority 5: Student Engagement Chronic Absenteeism Rate Source:CA Dashboard,moving_away,+2.0%,4,0.00,3,0.00,4,,0.0
Orchard School District,True,230000.00,94000.00,2,1,1.0000,1.0000,Percentage of students who are chronically absent and percentage of total district attendance rate.,off_track,attendance. 1.47%,0,0.00,0,0.00,0,,0.0
Campbell Union School District,True,0.00,0.00,0,2,0.0000,1.0000,"Decrease the overall Chronic Absenteeism rate by 0.5% annually. Reduce the Chronic Absenteeism for ELs, SWDs, and SED Students by at least 1.3% annually.",moving_away,,0,0.00,0,0.00,0,,0.0
Lakeside Joint School District,True,0.00,0.00,0,2,0.6667,0.0000,Chronic Absenteeism,on_track,2.7% over 2023-,0,0.00,0,0.00,0,,0.0
Los Gatos-Saratoga Union High School District,True,0.00,0.00,0,2,0.5556,1.0000,"Chronic Absenteeism Source: DataQuest, Absenteeism Data report, Chronic Absenteeism (Required Metric, State Priority 5)",off_track,Year 1,0,0.00,0,0.00,0,,0.0
Palo Alto Unified School District,False,618396.00,371037.60,1,1,0.0000,0.0000,"P5.A School attendance rates for all students, SED, and EL Source: 5 Labs ""Overall attendance rate""",,All -0.1%,1,618396.00,0,0.00,0,Attendance & chronic absenteeism,618396.0
East Side Union High School District,False,463514.00,190345.10,6,1,0.0000,0.0000,District P2 attendance rate,,2025-26 Update,7,473514.00,1,25000.00,0,Child Welfare & Attendance Support,372049.0
Morgan Hill Unified School District,False,13131974.52,8271487.97,52,3,0.2143,0.0000,Pupil Engagement: Chronic Absenteeism Rates (Aeries SIS),on_track,2024-25 Chronic,4,234994.00,3,142994.00,0,"Student Engagement and Attendance - Initiatives focused on promoting active participation in learning activities and ensuring regular student attendance including creating a positive and supportive school environment where students feel motivated, connected, and valued to improve student outcomes for English Learners, Foster Youth and",92000.0
Cambrian School District,False,1109524.00,735123.30,6,2,0.3333,0.0000,CA Dashboard: Chronic Absenteeism Rate,on_track,All Students: -3.2,3,118174.00,0,0.00,1,Enrollment/Engagem ent & Support Specialist for Improving Attendance,59087.0
Oak Grove School District,False,226232.00,90492.80,3,1,0.0000,0.0000,CA Dashboard Chronic Absenteeism,,,2,116366.00,2,116366.00,0,"Central Office Support for Foster Youth, Homeless Youth, English Learners, Socioeconomically Disadvantaged Students in Areas of Attendance, Safety and Physical Health",109866.0
Union Elementary School District,False,166141.00,104084.60,3,1,0.2857,0.0000,Chronic absenteeism rates,at_or_above_target,All students: -4.2%,1,88000.00,0,0.00,0,Increase Student Attendance,88000.0
Los Gatos Union Elementary School District,False,40000.00,36000.00,7,1,0.3750,0.0000,Priority 5B: CA School Dashboard chronic absenteeism rates,at_or_above_target,Baseline - Year 1,4,40000.00,1,0.00,3,Continue to enforce attendance policy,40000.0
Loma Prieta Joint Union School District,False,40656.00,19262.40,4,4,0.0000,0.0000,Chronic absenteeism rates,,,2,15000.00,0,0.00,1,Targeted counseling for attendance,15000.0
Alum Rock Union Elementary School District,False,7984804.64,7174624.18,7,4,0.0000,0.0000,Dashboard Data on Chronic Absenteeism,,,1,10000.00,1,10000.00,0,Home visits,10000.0
Berryessa Union Elementary School District,False,2675260.83,1603381.41,11,2,0.0000,0.0000,Chronic Absenteeism Rates (district-wide),,,0,0.00,0,0.00,0,,0.0
Franklin-McKinley Elementary School District,False,1428722.00,1254565.05,3,1,0.0000,0.0000,Student Engagement: Priority 5.A District average daily attendance rate Data Source: A2A,,,0,0.00,0,0.00,0,,0.0
Campbell Union High School District,False,0.00,0.00,0,0,0.0000,0.0000,,,,0,0.00,0,0.00,0,,0.0
