district_name,goal_number,action_number,title,description_snippet,total_funds,contributing,explicit_workflow_title
Palo Alto Unified School District,3,3.1,Attendance & chronic absenteeism,"Action 3.1: Continue to address chronic absenteeism with a focus on family engagement and education. Continue with family conferences and personal outreach to understand and address barriers to attendance, with a special focus on student groups currently in the ""red"" on the Calif",618396.00,True,False
Gilroy Unified School District,3,3.1,Attendance,"GUSD staff will increase engagement by identifying and addressing barriers to attendance in the following increased interventions, rooted in Restorative Practices: * a. Continue to partner with community-based agencies to promote best practices related to attendance and engagemen",522209.00,True,False
Fremont Union High School District,3,3.9,Attendance,Continue and strengthen the School Attendance Review Team and School Attendance Review Board processes.,376674.00,False,False
East Side Union High School District,5,5.1,Child Welfare & Attendance Support,,372049.00,True,False
Santa Clara Unified School District,2,2.4,"Provide support and engage with students and families, with a focus on foster and unhoused youth, to increase regular school attendance, and decrease chronic absenteeism.","When looking at results district wide across the CA School Dashboard Chronic Absenteeism Indicator, one student group emerged as having ""very high"" rates of chronic absenteeism, American Indian. However, it should be noted that a data collection error resulted in students of Sout",295100.00,True,False
Evergreen Elementary School District Board of Trustees,2,2.7,Director of Child Welfare Safety and Attendance,"Maintain Director of Child Welfare and Attendance. This addresses the student groups who were at the lowest performance level in the Chronic Absenteeism indicator on the CA School Dashboard: Evergreen Elementary School District (All Students, English learner (EL), Socioeconomical",268773.00,True,False
San José Unified School District,8,8.1,"Rigorous Curriculum- Innovative Workforce - EL Progress, ELA, Chronic absenteeism, Suspensions","On top of base staffing, schools receive an extra 20% of teacher staffing above their base, multiplied by the proportion of their projected students who are foster youth, Funding will support behavior specialists who will work with students to reduce chronic absenteeism and suspe",242400.00,False,False
Mountain View Whisman School District,2,2.3,Addressing Chronic Absenteeism Differentiated Assistance,MVWSD has been identified for Differentiated Assistance due to high levels of chronic absenteeism for Students with Disabilities and continues to also focus on students identifying as Homeless. The District has convened a Differentiated Assistance team that has been working colla,133416.00,False,False
Oak Grove School District,5,5.6,"Central Office Support for Foster Youth, Homeless Youth, English Learners, Socioeconomically Disadvantaged Students in Areas of Attendance, Safety and Physical Health",,109866.00,True,True
Los Altos Elementary School District,1,1.5,STUDENT ATTENDANCE,"LASD will implement a integrated support systems to address student attendance including school wide (tier 1), targeted (tier 2) and intensive supports for students who are chronically absent or at risk of dropping out of middle school. In addition, LASD leadership will provide a",109113.00,False,False
Morgan Hill Unified School District,3.0,3.0.k,"Student Engagement and Attendance - Initiatives focused on promoting active participation in learning activities and ensuring regular student attendance including creating a positive and supportive school environment where students feel motivated, connected, and valued to improve student outcomes for English Learners, Foster Youth and","Professional development, release time, stipends, extra hours, materials, incentives, and supplies to increase student attendance and reduce truancy and chronic absenteeism to improve student outcomes for English Learners, Foster Youth, and Socioeconomically Disadvantaged student",92000.00,True,False
Morgan Hill Unified School District,3.0,3.0.k,"Student Engagement and Attendance - Initiatives focused on promoting active participation in learning activities and ensuring regular student attendance including creating a positive and supportive school environment where students feel motivated, connected, and valued to improve student outcomes for English Learners, Foster Youth and Socioeconomically Disadvantaged students. (Differentiated Assistance and CA Dashboard -Chronic Absenteeism)",,92000.00,True,True
Union Elementary School District,1,1.8,Increase Student Attendance,"Implement a positive attendance campaign and targeted attendance interventions through the coordination of various resources provided by staff, including: our community liaison, counselors, student wellness coordinator, Extended Care, district nurses, site staff, and our student ",88000.00,True,False
Evergreen Elementary School District Board of Trustees,2,2.2,Attendance and re- engagement,"Improve student attendance by establishing site based attendance teams that will partner with families to identify and provide supports to students to address chronic absenteeism. Develop a Re-Engagement Plan to support actions and processes that address chronic absenteeism, beha",78364.00,True,False
Cambrian School District,3,3.8,Enrollment/Engagem ent & Support Specialist for Improving Attendance,"The district will fund a 0.50 FTE Enrollment & Engagement Specialist to support improved student attendance and provide targeted assistance to families at school sites identified for additional support. This staff member focuses on guiding families through the enrollment process,",59087.00,False,False
Cambrian School District,3,3.8,Enrollment/Engagement & Support Specialist for Improving Attendance,,59087.00,False,False
