district_name,area_key,area_label,goal_count,action_count,metric_count,action_dollars,externalizable_dollars,movement_points,movement_improving,movement_flat,movement_worsening,movement_negative_share,pace_metrics,pace_positive,pace_negative,pace_negative_share,top_action_1,top_action_1_dollars,top_action_2,top_action_2_dollars,metric_example_1,metric_example_1_status,metric_example_1_diff
San José Unified School District,ela_proficiency,ELA Proficiency & Literacy,3,10,4,399254966.91,299437882.19,11,5,1,5,0.4545,3,1,2,0.6667,"Rigorous
Curriculum-
Innovative
Workforce - EL
Progress, ELA,
Chronic
absenteeism,
Suspensions",242400.0,"Rigorous Curriculum-
Innovative Workforce -
EL Progress, ELA,
Chronic absenteeism,
Suspensions",242400.0,"English Language
Arts (ELA) State
Standardized
Assessment-
Performance
Indicator Source:
DataQuest
(Action 3.1
Enhanced
Resources
Innovative Work)",moving_away,Grades 6-8 &
San José Unified School District,english_learner_progress,English Learner Progress & Reclassification,2,16,5,413227189.94,283952382.2,4,1,1,2,0.5,3,1,2,0.6667,"English Learner
Support Metric 1,
2 - Discontinued",0.0,"English Learner Support
Metric 1, 2 -
Discontinued",0.0,"English Learner
Proficiency
Assessment
(ELPAC)
Percentage making
progress toward
English language
proficiency
Source: California
School Dashboard
and DataQuest",moving_away,-6.1%
San José Unified School District,college_career_readiness,"College, Career & Postsecondary Readiness",0,8,5,357123437.46,261639677.14,14,10,0,4,0.2857,4,1,3,0.75,"Rigorous
Curriculum -
Innovative
Workforce",21786716.3,"Learning
Experiences/
Transportation",3.5,"Percentage of
graduates meeting
UC/CSU
requirements
Source: DataQuest",moving_away,5.2%
San José Unified School District,school_climate_suspension,"School Climate, Behavior & Suspension",3,5,4,321823651.72,231244553.09,7,4,1,2,0.2857,2,1,1,0.5,"Rigorous
Curriculum-
Innovative
Workforce - EL
Progress, ELA,
Chronic
absenteeism,
Suspensions",242400.0,"Rigorous
Curriculum-
Innovative
Workforce
(Base)",287330648.0,"Suspension rate
Source-Dataquest",off_track,.1%
San José Unified School District,graduation_credit_recovery,"Graduation, Credit Recovery & Alternative Pathways",1,9,3,346455905.13,241275695.73,9,7,1,1,0.1111,3,2,1,0.3333,"Credit Recovery
Data Metric 1 -
Discountinued",0.0,"Credit Recovery Data
Metric 1 - Discountinued",0.0,"Middle School
dropout rate Source
- IC",off_track,0.00%
San José Unified School District,special_education_inclusion,Special Education & Inclusion,3,7,1,382298362.51,273356737.05,3,0,3,0,0.0,0,0,0,0.0,"Rigorous
Curriculum-
Innovative
Workforce
(Base)",287330648.0,"Professional
Development.
Metric 7.1, 7.2",251666.0,"Course Access:
Percent of students
with access to and
enrollment in a
broad course of
study, including
unduplicated
student groups and
individuals with
exceptional needs.
Source: IC Report",,0%
San José Unified School District,mtss_intervention,"MTSS, Tutoring & Targeted Intervention",0,8,1,355403552.33,259378322.12,0,0,0,0,0.0,0,0,0,0.0,"Enhanced
Resources -
Innovative
Workforce
(Base)",31226302.2,"Enhanced
Resources -
Additional
Resources and
Services",11813648.7,"""Parental
Participation in the
Expanded Learning
Opportunities
Program (ELOP) for
Low Income,
English Learner
and Foster Youth
students.
Survey measuring
Parent satisfaction
with program",,
sunnyvale,special_education_inclusion,Special Education & Inclusion,0,7,4,111952802.96,72325095.62,9,9,0,0,0.0,4,0,4,1.0,"Equitable
Opportunities
Base Resources &
Services",1053944.0,"Inclusive and
Nurturing
Environments Base
Staffing",20828762.12,"Extent to which pupils
have access to and are
enrolled in: programs
and services developed
and provided to
individuals with
exceptional needs",moving_away,1.05%
sunnyvale,ela_proficiency,ELA Proficiency & Literacy,0,6,3,109644657.96,70247765.12,10,10,0,0,0.0,3,0,3,1.0,"Students Achieve
Mastery",4900344.0,"Inclusive and
Nurturing
Environments Base
Resources &
Services",1626102.0,"Distance from standard
(DFS) in ELA for the
following student groups:
Students with disabilities
Socioeconomically
Disadvantaged
English Learners",moving_away,2024 CA
Milpitas Unified School District,ela_proficiency,ELA Proficiency & Literacy,0,17,4,135735121.0,91716886.65,18,9,0,9,0.5,1,1,0,0.0,"Early Literacy K-3
Staffing",1437600.0,"State Seal and
Pathway to Biliteracy",58533.0,"K-3 Grade Level
Reading Proficiency is
On or Above Grade
Level as measured by
iReady",on_track,Overall:-3.2%
