area_key,area_label,districts_with_area,district_prevalence_share,goal_count,action_count,metric_count,action_dollars,externalizable_dollars,movement_points,movement_worsening,movement_negative_share,pace_metrics,pace_positive,pace_negative,pace_negative_share,districts_with_negative_pressure,district_negative_pressure_share,externalizable_share_of_action_dollars,top_procurement_profile,service_hypothesis,opportunity_score,example_district_1,example_district_1_action,example_district_1_action_dollars,example_district_1_metric,example_district_1_metric_status,example_district_2,example_district_2_action,example_district_2_action_dollars,example_district_2_metric,example_district_2_metric_status
school_climate_suspension,"School Climate, Behavior & Suspension",28,1.0,13,181,68,460971772.91,344242889.82,256,138,0.5391,34,12,22,0.6471,20,0.7143,0.7468,coaching_pd_services,"Behavior support systems, restorative-practice implementation, school-climate coaching, and student support programming.",0.8614,San José Unified School District,"Rigorous
Curriculum-
Innovative
Workforce - EL
Progress, ELA,
Chronic
absenteeism,
Suspensions",242400.0,"Suspension rate
Source-Dataquest",off_track,sunnyvale,"Inclusive and
Nurturing
Environments",2288145.0,"Student Suspension
Rates",moving_away
special_education_inclusion,Special Education & Inclusion,28,1.0,13,222,87,778450266.94,523205734.31,348,85,0.2443,57,17,40,0.7018,16,0.5714,0.6721,coaching_pd_services,"Inclusive instruction support, SPED program services, progress monitoring, extended school year supports, and compliance/implementation tools.",0.8599,San José Unified School District,"Rigorous
Curriculum-
Innovative
Workforce
(Base)",287330648.0,"Course Access:
Percent of students
with access to and
enrollment in a
broad course of
study, including
unduplicated
student groups and
individuals with
exceptional needs.
Source: IC Report",,sunnyvale,"Equitable
Opportunities
Base Resources &
Services",1053944.0,"Extent to which pupils
have access to and are
enrolled in: programs
and services developed
and provided to
individuals with
exceptional needs",moving_away
ela_proficiency,ELA Proficiency & Literacy,28,1.0,19,276,133,786695880.99,568535764.81,694,205,0.2954,65,24,41,0.6308,18,0.6429,0.7227,coaching_pd_services,"High-dosage literacy intervention, instructional coaching, assessment/data cycles, and targeted tutoring support.",0.8541,San José Unified School District,"Rigorous
Curriculum-
Innovative
Workforce - EL
Progress, ELA,
Chronic
absenteeism,
Suspensions",242400.0,"English Language
Arts (ELA) State
Standardized
Assessment-
Performance
Indicator Source:
DataQuest
(Action 3.1
Enhanced
Resources
Innovative Work)",moving_away,sunnyvale,"Students Achieve
Mastery",4900344.0,"Distance from standard
(DFS) in ELA for the
following student groups:
Students with disabilities
Socioeconomically
Disadvantaged
English Learners",moving_away
english_learner_progress,English Learner Progress & Reclassification,28,1.0,15,401,101,704192284.0,461907574.11,190,53,0.2789,53,19,34,0.6415,17,0.6071,0.6559,coaching_pd_services,"ELD program support, reclassification tracking, newcomer services, multilingual family engagement, and teacher coaching.",0.8484,San José Unified School District,"English Learner
Support Metric 1,
2 - Discontinued",0.0,"English Learner
Proficiency
Assessment
(ELPAC)
Percentage making
progress toward
English language
proficiency
Source: California
School Dashboard
and DataQuest",moving_away,sunnyvale,"Students Achieve
Mastery
Targeted Resources
& Services",236089.0,"English learner
reclassification rate",moving_away
math_proficiency,Math Proficiency,28,1.0,7,139,100,148411015.23,122142085.37,666,219,0.3288,61,19,42,0.6885,18,0.6429,0.823,coaching_pd_services,"Math intervention, acceleration supports, classroom coaching, and benchmark-driven instructional services.",0.8457,Milpitas Unified School District,"Support and
Administrative
Staffing",35361430.0,SBAC Math,moving_away,Alum Rock Union Elementary School District,"Special Services for
students",34989125.0,"SBAC results -
English Language
Arts and Mathematics",
chronic_absenteeism,Chronic Absenteeism & Attendance Recovery,27,0.9643,4,170,51,139816310.95,114569381.16,232,119,0.5129,26,14,12,0.4615,19,0.7037,0.8194,technology_platform,"Attendance early-warning, multilingual family outreach, case management workflows, and student re-engagement services.",0.7992,Milpitas Unified School District,"Support and
Administrative
Staffing",35361430.0,Chronic Absenteeism,off_track,sunnyvale,"Inclusive and
Nurturing
Environments Base
Staffing",20828762.12,"Chronic absenteeism
(source: CA Dashboard)",moving_away
college_career_readiness,"College, Career & Postsecondary Readiness",25,0.8929,19,187,81,605983627.79,432737215.18,387,105,0.2713,56,25,31,0.5536,12,0.48,0.7141,technology_platform,"College/career pathway design, advising systems, pathway activation, dual-enrollment operations, and postsecondary planning platforms.",0.7742,San José Unified School District,"Rigorous
Curriculum -
Innovative
Workforce",21786716.3,"Percentage of
graduates meeting
UC/CSU
requirements
Source: DataQuest",moving_away,Milpitas Unified School District,"State Seal and
Pathway to Biliteracy",58533.0,"Successfully completed
at least Career Technical
Education (CTE)
Pathway",moving_away
family_community_engagement,Family & Community Engagement,28,1.0,18,229,138,163691286.15,132077817.42,205,31,0.1512,56,33,23,0.4107,14,0.5,0.8069,community_support_services,"Multilingual family engagement platforms, community outreach services, workshop programming, and parent activation campaigns.",0.756,San José Unified School District,"Unified
Community -
Innovative
Workforce
(Base)",47767579.2,"Parent and Family
Engagement
Source: California
School Dashboard
Local Performance
Indicator, Parent
and Family
Engagement,
Reflection Tool
Rating Scale",,Alum Rock Union Elementary School District,"Community and
Family Outreach and
Support",1604317.73,"Attendance sheets for
DAC and DELAC
meetings",off_track
graduation_credit_recovery,"Graduation, Credit Recovery & Alternative Pathways",23,0.8214,7,97,44,442996400.02,324271932.38,128,60,0.4688,29,14,15,0.5172,13,0.5652,0.732,technology_platform,"Credit-recovery programs, mentoring/case management, alternative pathway support, and early-warning graduation services.",0.7522,San José Unified School District,"Credit Recovery
Data Metric 1 -
Discountinued",0.0,"Middle School
dropout rate Source
- IC",off_track,Milpitas Unified School District,"Acceleration and
Intervention to Meet
Needs of
Unduplicated
Students",812093.0,Graduation Rate,moving_away
mtss_intervention,"MTSS, Tutoring & Targeted Intervention",28,1.0,4,296,14,638576389.26,481094945.38,54,5,0.0926,4,3,1,0.25,4,0.1429,0.7534,program_services,"MTSS implementation support, tutoring operations, expanded-learning programming, and intervention workflow/data tools.",0.6814,San José Unified School District,"Enhanced
Resources -
Innovative
Workforce
(Base)",31226302.2,"""Parental
Participation in the
Expanded Learning
Opportunities
Program (ELOP) for
Low Income,
English Learner
and Foster Youth
students.
Survey measuring
Parent satisfaction
with program",,Alum Rock Union Elementary School District,"Expanded Learning
Programming",9958761.53,,
